epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1608.45,0.78551,5.30873,0.39351,0.5739,1.25158,0.95061,0.96124,0.97494,0.82335,0.75046,0.72578,0.67187,0.20495,0.63768,3.94672,0.4051,0.40545,1.21714,0.007426,0.007426,0.007426
28,1652.64,0.77475,5.34548,0.39003,0.57283,1.24618,0.95594,0.96359,0.97822,0.82041,0.74542,0.7475,0.67404,0.20242,0.63815,3.92703,0.41528,0.4018,1.21854,0.007327,0.007327,0.007327
29,1697.75,0.76255,5.22992,0.38947,0.56291,1.23554,0.9554,0.96856,0.98007,0.83112,0.7533,0.74339,0.68954,0.20712,0.6114,3.87714,0.40891,0.38519,1.19092,0.007228,0.007228,0.007228
30,1743.09,0.76039,5.22721,0.38545,0.55961,1.2412,0.95294,0.96316,0.97902,0.83686,0.78514,0.76864,0.72323,0.2267,0.60683,3.81343,0.40566,0.38974,1.18573,0.007129,0.007129,0.007129
31,1788.98,0.75739,5.16295,0.38816,0.55621,1.23457,0.95032,0.96183,0.97888,0.83172,0.77615,0.75941,0.71429,0.23311,0.6173,3.81418,0.41637,0.39875,1.19564,0.00703,0.00703,0.00703
32,1834.49,0.75155,5.15026,0.38491,0.55272,1.22762,0.95565,0.96171,0.97786,0.82752,0.77725,0.76016,0.69503,0.21897,0.61584,3.81439,0.40575,0.39316,1.20041,0.006931,0.006931,0.006931
33,1880.34,0.74584,5.07175,0.38241,0.54176,1.22406,0.94795,0.97314,0.97828,0.83599,0.79264,0.78039,0.73258,0.23868,0.60696,3.71822,0.39639,0.37962,1.18876,0.006832,0.006832,0.006832
34,1925.81,0.7461,5.02903,0.38275,0.53931,1.22106,0.94957,0.97307,0.97664,0.82232,0.78777,0.7803,0.73356,0.24265,0.63038,3.69452,0.39985,0.38268,1.21641,0.006733,0.006733,0.006733
35,1970.02,0.74306,5.02989,0.37886,0.55366,1.22509,0.94972,0.97005,0.97538,0.83911,0.78742,0.78085,0.72772,0.24131,0.58437,3.68672,0.39984,0.38918,1.16218,0.006634,0.006634,0.006634
36,2015.6,0.73917,5.00296,0.37951,0.54576,1.2224,0.94523,0.97293,0.9791,0.84851,0.8078,0.7892,0.76302,0.25002,0.57352,3.65537,0.40089,0.36807,1.15626,0.006535,0.006535,0.006535
