epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1765,1.29009,1.93339,1.58306,0.68258,0.57095,0.66048,0.38089,1.39028,1.7307,1.70767,0.000552417,0.000552417,0.000552417
2,115.164,1.32738,1.53301,1.58749,0.63916,0.69783,0.6668,0.39902,1.40641,1.86798,1.73774,0.00109711,0.00109711,0.00109711
3,168.946,1.37928,1.47811,1.63022,0.6855,0.61497,0.67508,0.39498,1.4437,1.51718,1.80885,0.00163081,0.00163081,0.00163081
4,222.39,1.33565,1.34755,1.59295,0.68573,0.68614,0.744,0.43214,1.38157,1.38433,1.68993,0.00161749,0.00161749,0.00161749
5,282.954,1.30522,1.25771,1.55932,0.77236,0.75903,0.82946,0.51552,1.32896,1.04027,1.58593,0.00160099,0.00160099,0.00160099
6,315.939,1.23116,1.16036,1.50358,0.67693,0.61269,0.71327,0.47479,1.16764,2.89683,1.52273,0.00158448,0.00158448,0.00158448
7,331.575,1.19881,1.10923,1.4757,0.80605,0.8197,0.86788,0.58609,1.1089,0.98071,1.45519,0.00156798,0.00156798,0.00156798
8,345.353,1.17026,1.03718,1.45463,0.84762,0.75626,0.88099,0.58512,1.1681,1.10907,1.45085,0.00155148,0.00155148,0.00155148
9,359.819,1.18396,1.05611,1.46701,0.85308,0.85977,0.90273,0.57026,1.24443,0.86018,1.48394,0.00153497,0.00153497,0.00153497
10,373.762,1.13156,1.00323,1.43291,0.84394,0.77129,0.87448,0.55589,1.24264,0.93961,1.48078,0.00151847,0.00151847,0.00151847
11,387.341,1.12798,0.97652,1.41973,0.78897,0.73122,0.84578,0.55987,1.15147,1.26991,1.4381,0.00150197,0.00150197,0.00150197
12,401.167,1.07788,0.93108,1.38709,0.81186,0.73122,0.82095,0.55976,1.09777,1.27248,1.40866,0.00148546,0.00148546,0.00148546
13,414.513,1.06417,0.91532,1.3712,0.78485,0.8197,0.86602,0.60121,1.08439,1.04412,1.39902,0.00146896,0.00146896,0.00146896
14,427.628,1.05186,0.89946,1.36619,0.86175,0.7379,0.87086,0.63085,0.99402,1.05142,1.35044,0.00145246,0.00145246,0.00145246
15,440.852,1.04114,0.87229,1.36911,0.85178,0.75792,0.85963,0.60354,1.06381,1.01957,1.37441,0.00143595,0.00143595,0.00143595
16,454.818,1.01746,0.85487,1.34475,0.87471,0.89742,0.93952,0.66819,0.991,0.68534,1.36629,0.00141945,0.00141945,0.00141945
17,467.943,1.01105,0.83213,1.34623,0.84896,0.75793,0.86006,0.60801,1.02507,1.03879,1.34656,0.00140295,0.00140295,0.00140295
18,481.399,0.99827,0.81175,1.32566,0.86122,0.75459,0.89009,0.58957,1.16606,0.99951,1.42189,0.00138644,0.00138644,0.00138644
19,494.352,0.9856,0.8306,1.32616,0.8164,0.78631,0.88013,0.63809,0.98314,0.96534,1.35155,0.00136994,0.00136994,0.00136994
20,507.447,0.9624,0.78155,1.30349,0.83942,0.88142,0.92281,0.66507,0.97531,0.70897,1.37796,0.00135344,0.00135344,0.00135344
21,520.497,0.9714,0.79603,1.31086,0.83878,0.81803,0.91165,0.65411,1.02126,1.01816,1.33932,0.00133693,0.00133693,0.00133693
22,533.635,0.95154,0.76588,1.29427,0.82193,0.73974,0.87458,0.64835,0.94453,1.16179,1.32728,0.00132043,0.00132043,0.00132043
23,547.08,0.94491,0.76096,1.29709,0.83119,0.80301,0.88133,0.62864,1.02323,0.80744,1.37036,0.00130393,0.00130393,0.00130393
24,560.483,0.93109,0.74045,1.2901,0.82451,0.67112,0.79195,0.54866,1.10066,1.2938,1.4141,0.00128742,0.00128742,0.00128742
25,573.63,0.92855,0.74029,1.2805,0.86383,0.81545,0.91113,0.65548,1.00583,0.87315,1.34409,0.00127092,0.00127092,0.00127092
26,587.035,0.90884,0.70312,1.26361,0.84088,0.7429,0.86544,0.63697,0.99303,0.85355,1.35125,0.00125442,0.00125442,0.00125442
27,601.312,0.90478,0.7086,1.26551,0.87872,0.79835,0.88906,0.63358,1.03259,0.9741,1.34498,0.00123791,0.00123791,0.00123791
28,616.492,0.90367,0.70784,1.26363,0.86438,0.76628,0.86901,0.64117,0.97818,0.95959,1.34982,0.00122141,0.00122141,0.00122141
29,630.971,0.88739,0.68746,1.25007,0.84119,0.7428,0.83804,0.61177,1.01012,0.91019,1.35671,0.00120491,0.00120491,0.00120491
30,645.467,0.88986,0.6987,1.25504,0.83511,0.82014,0.8991,0.64049,1.04149,0.86638,1.34223,0.0011884,0.0011884,0.0011884
31,660.124,0.87651,0.6763,1.2403,0.76675,0.64775,0.778,0.5629,1.01283,1.56195,1.36485,0.0011719,0.0011719,0.0011719
32,674.452,0.88272,0.67989,1.2499,0.82637,0.82972,0.89197,0.66032,0.97629,0.83495,1.35619,0.0011554,0.0011554,0.0011554
33,688.932,0.86514,0.65615,1.23323,0.85926,0.82559,0.90498,0.65445,0.99276,0.78587,1.35762,0.00113889,0.00113889,0.00113889
34,702.906,0.85115,0.65232,1.23304,0.85904,0.75287,0.87658,0.62502,0.99913,1.13772,1.36154,0.00112239,0.00112239,0.00112239
35,717.021,0.87825,0.6644,1.26444,0.83575,0.68948,0.83648,0.62639,0.95734,1.177,1.33307,0.00110589,0.00110589,0.00110589
36,730.708,0.83131,0.63923,1.2184,0.90154,0.80467,0.92408,0.67455,0.98482,0.78314,1.31814,0.00108938,0.00108938,0.00108938
37,744.695,0.85473,0.63106,1.23213,0.84847,0.63606,0.7827,0.57121,1.03121,1.57742,1.38361,0.00107288,0.00107288,0.00107288
38,758.312,0.83136,0.65614,1.21116,0.86616,0.80467,0.90692,0.64894,1.03197,0.82162,1.36535,0.00105638,0.00105638,0.00105638
39,772.084,0.83657,0.63483,1.22353,0.86621,0.84641,0.92685,0.68735,0.9417,0.66349,1.37995,0.00103987,0.00103987,0.00103987
40,785.969,0.81695,0.61668,1.21336,0.89269,0.7916,0.91442,0.68817,0.90229,0.78996,1.29947,0.00102337,0.00102337,0.00102337
41,799.66,0.81071,0.59968,1.19661,0.88836,0.86477,0.93391,0.69505,0.93983,0.67076,1.34556,0.00100687,0.00100687,0.00100687
42,812.933,0.81075,0.59662,1.19912,0.89276,0.86644,0.92676,0.6998,0.94301,0.68701,1.34252,0.000990365,0.000990365,0.000990365
43,826.661,0.80664,0.59728,1.19558,0.84001,0.72454,0.83534,0.6001,1.02844,1.29096,1.38655,0.000973861,0.000973861,0.000973861
44,840.522,0.79786,0.59868,1.19471,0.86546,0.79299,0.89316,0.65675,0.98755,1.02444,1.3818,0.000957358,0.000957358,0.000957358
45,854.117,0.78823,0.58418,1.18919,0.82758,0.78529,0.86424,0.64069,0.96261,1.09681,1.36833,0.000940855,0.000940855,0.000940855
46,867.635,0.79359,0.59353,1.19256,0.85209,0.82972,0.89207,0.66708,0.97741,0.76654,1.35587,0.000924352,0.000924352,0.000924352
47,880.841,0.78933,0.58205,1.19015,0.90614,0.88646,0.93875,0.69774,0.93584,0.58428,1.34218,0.000907848,0.000907848,0.000907848
48,894.3,0.78789,0.57272,1.1845,0.88978,0.85476,0.92493,0.6933,0.94706,0.76841,1.34037,0.000891345,0.000891345,0.000891345
49,907.499,0.76725,0.56384,1.16408,0.86757,0.90818,0.93784,0.68206,0.99039,0.59679,1.34252,0.000874842,0.000874842,0.000874842
50,920.799,0.7838,0.5808,1.17721,0.82732,0.87185,0.91238,0.67407,0.97039,0.70794,1.35314,0.000858338,0.000858338,0.000858338
51,933.733,0.75973,0.55378,1.15955,0.85983,0.88982,0.93701,0.70208,0.95049,0.62696,1.34126,0.000841835,0.000841835,0.000841835
52,946.616,0.77377,0.57027,1.18508,0.88311,0.81983,0.92286,0.67369,0.97802,0.85242,1.39611,0.000825332,0.000825332,0.000825332
53,959.339,0.76599,0.56053,1.17311,0.86549,0.85643,0.92701,0.68631,0.96011,0.7614,1.33803,0.000808828,0.000808828,0.000808828
54,972.533,0.75085,0.53616,1.16266,0.87089,0.79967,0.9062,0.68071,0.95348,1.04482,1.33503,0.000792325,0.000792325,0.000792325
55,985.446,0.7589,0.55189,1.15861,0.90969,0.77963,0.89993,0.68259,0.94587,0.95607,1.33373,0.000775822,0.000775822,0.000775822
56,998.632,0.74095,0.53288,1.15652,0.89968,0.87646,0.94279,0.70698,0.94143,0.63976,1.31709,0.000759318,0.000759318,0.000759318
57,1012.06,0.73872,0.52973,1.15225,0.89157,0.78246,0.90528,0.68354,0.94918,0.895,1.33047,0.000742815,0.000742815,0.000742815
58,1024.88,0.74573,0.58717,1.15681,0.901,0.80529,0.92277,0.69593,0.92854,0.75508,1.32897,0.000726312,0.000726312,0.000726312
59,1038.01,0.73423,0.53018,1.15743,0.85287,0.82972,0.92124,0.68062,0.98332,0.83109,1.36636,0.000709809,0.000709809,0.000709809
60,1051.48,0.72703,0.53065,1.14979,0.85574,0.78233,0.87701,0.66685,0.93274,1.16447,1.36803,0.000693305,0.000693305,0.000693305
61,1064.74,0.72957,0.51927,1.15148,0.85612,0.80461,0.89899,0.675,0.9548,1.04248,1.34774,0.000676802,0.000676802,0.000676802
62,1077.87,0.72089,0.51917,1.14396,0.92415,0.81364,0.92503,0.70128,0.95704,0.72319,1.35458,0.000660299,0.000660299,0.000660299
63,1091.16,0.7077,0.5044,1.13816,0.87784,0.82304,0.90548,0.68949,0.93352,0.81517,1.36908,0.000643795,0.000643795,0.000643795
64,1104.78,0.70462,0.50727,1.13395,0.86417,0.88159,0.9362,0.70194,0.96801,0.73437,1.37429,0.000627292,0.000627292,0.000627292
65,1118.29,0.70395,0.49399,1.13077,0.91608,0.88982,0.95289,0.72145,0.92288,0.56838,1.32735,0.000610789,0.000610789,0.000610789
66,1131.21,0.70271,0.50487,1.13107,0.85414,0.82304,0.90648,0.67592,0.94311,0.83842,1.32972,0.000594286,0.000594286,0.000594286
67,1144.59,0.69728,0.50704,1.13156,0.88952,0.86144,0.93494,0.71907,0.88644,0.78983,1.30126,0.000577782,0.000577782,0.000577782
68,1158.31,0.69393,0.4852,1.12598,0.89772,0.82638,0.92589,0.69197,0.94507,0.80309,1.38061,0.000561279,0.000561279,0.000561279
69,1171.82,0.69495,0.48874,1.12702,0.93048,0.84912,0.94452,0.71118,0.92624,0.74634,1.34751,0.000544776,0.000544776,0.000544776
70,1184.86,0.68513,0.4893,1.12181,0.88369,0.83472,0.91899,0.70528,0.91814,0.89142,1.33308,0.000528272,0.000528272,0.000528272
71,1198.38,0.69628,0.49372,1.13024,0.93855,0.79049,0.926,0.69928,0.92454,0.80964,1.33498,0.000511769,0.000511769,0.000511769
72,1211.53,0.68324,0.48272,1.11534,0.8889,0.88154,0.94112,0.71336,0.91568,0.62218,1.3145,0.000495266,0.000495266,0.000495266
73,1225.08,0.6739,0.48627,1.11426,0.86407,0.85977,0.92779,0.70559,0.91369,0.70615,1.35741,0.000478762,0.000478762,0.000478762
74,1238.47,0.68184,0.48356,1.12033,0.90247,0.87145,0.93055,0.71176,0.8953,0.6443,1.32181,0.000462259,0.000462259,0.000462259
75,1251.56,0.67313,0.47668,1.11714,0.86946,0.8197,0.91898,0.6937,0.94578,0.86028,1.35946,0.000445756,0.000445756,0.000445756
76,1265.12,0.66396,0.46743,1.11646,0.83647,0.82471,0.90874,0.69693,0.91144,1.02345,1.3393,0.000429253,0.000429253,0.000429253
77,1278.42,0.6588,0.46876,1.10597,0.86502,0.85643,0.92705,0.70508,0.92499,0.81597,1.32997,0.000412749,0.000412749,0.000412749
78,1291.41,0.65693,0.45836,1.09894,0.90362,0.83472,0.92277,0.70196,0.94315,0.78412,1.3467,0.000396246,0.000396246,0.000396246
79,1304.4,0.65605,0.45024,1.11238,0.87077,0.88815,0.94385,0.71982,0.9176,0.70677,1.3207,0.000379743,0.000379743,0.000379743
80,1317.52,0.66062,0.46248,1.11571,0.88722,0.86311,0.93663,0.71009,0.919,0.78363,1.33731,0.000363239,0.000363239,0.000363239
81,1330.45,0.64198,0.44688,1.10031,0.87793,0.84808,0.93118,0.71167,0.91368,0.85107,1.33815,0.000346736,0.000346736,0.000346736
82,1343.55,0.63318,0.44408,1.09119,0.87696,0.86862,0.93828,0.70156,0.94829,0.75148,1.36319,0.000330233,0.000330233,0.000330233
83,1356.46,0.63121,0.43825,1.08818,0.90455,0.84975,0.9357,0.71578,0.91034,0.81696,1.31977,0.000313729,0.000313729,0.000313729
84,1369.64,0.63727,0.43826,1.10143,0.90558,0.83639,0.92263,0.70538,0.91609,0.81414,1.34189,0.000297226,0.000297226,0.000297226
85,1383.46,0.62681,0.43901,1.08597,0.90583,0.80289,0.90841,0.69669,0.91931,0.91886,1.34152,0.000280723,0.000280723,0.000280723
86,1396.19,0.62579,0.43555,1.08861,0.87367,0.85309,0.92201,0.69764,0.93561,0.95972,1.36172,0.00026422,0.00026422,0.00026422
87,1408.98,0.62256,0.42793,1.08379,0.90624,0.798,0.90589,0.69561,0.92902,0.98088,1.36941,0.000247716,0.000247716,0.000247716
88,1421.89,0.63213,0.44433,1.09936,0.86249,0.79967,0.90115,0.68192,0.93108,1.05281,1.35485,0.000231213,0.000231213,0.000231213
89,1434.48,0.61869,0.42522,1.08261,0.88776,0.76127,0.8841,0.68195,0.90897,1.13142,1.34011,0.00021471,0.00021471,0.00021471
90,1447.18,0.61974,0.4308,1.08939,0.89765,0.82137,0.91429,0.70567,0.91581,0.96107,1.35372,0.000198206,0.000198206,0.000198206
91,1485.74,0.5237,0.31628,1.0608,0.86286,0.83139,0.90046,0.68546,0.92387,0.92264,1.3455,0.000181703,0.000181703,0.000181703
92,1499.03,0.49534,0.29062,1.02056,0.91739,0.78965,0.89961,0.68506,0.93183,0.94635,1.3589,0.0001652,0.0001652,0.0001652
93,1512.2,0.48102,0.2835,1.01504,0.92177,0.78683,0.90279,0.69393,0.908,0.9601,1.34529,0.000148696,0.000148696,0.000148696
94,1525.58,0.47883,0.28431,1.01681,0.92719,0.77462,0.89122,0.6871,0.91303,1.06794,1.35927,0.000132193,0.000132193,0.000132193
95,1539.27,0.47039,0.29286,1.00501,0.88329,0.78336,0.88676,0.6863,0.90069,1.14408,1.35161,0.00011569,0.00011569,0.00011569
96,1553.06,0.46575,0.27127,1.00854,0.87672,0.79466,0.88621,0.68262,0.91609,1.1168,1.35932,9.91865e-05,9.91865e-05,9.91865e-05
97,1566.37,0.46737,0.27082,1.00256,0.89782,0.83973,0.92506,0.71297,0.911,0.78988,1.35424,8.26832e-05,8.26832e-05,8.26832e-05
98,1579.85,0.44754,0.26174,0.99167,0.89067,0.82964,0.91947,0.70574,0.91221,0.88177,1.35711,6.61799e-05,6.61799e-05,6.61799e-05
99,1593.55,0.44844,0.26068,0.98567,0.90278,0.82163,0.91536,0.70641,0.90393,0.94418,1.35941,4.96766e-05,4.96766e-05,4.96766e-05
100,1607.37,0.4456,0.2768,0.98754,0.90223,0.81469,0.91009,0.70484,0.90417,0.95899,1.35033,3.31733e-05,3.31733e-05,3.31733e-05
