epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,659.48,0.82136,0.60251,1.20381,0.85962,0.8792,0.92699,0.68248,0.9452,0.801,1.3201,0.000990365,0.000990365,0.000990365
43,675.164,0.80921,0.59488,1.20037,0.83736,0.79937,0.89228,0.66481,0.97537,0.90515,1.36696,0.000973861,0.000973861,0.000973861
44,690.562,0.82064,0.60276,1.20965,0.83848,0.76294,0.87061,0.6485,0.94457,1.23345,1.35559,0.000957358,0.000957358,0.000957358
45,706.106,0.80347,0.58565,1.20016,0.83823,0.71619,0.85055,0.64314,0.92188,1.44755,1.38075,0.000940855,0.000940855,0.000940855
46,721.428,0.81238,0.59026,1.20866,0.8316,0.91511,0.9273,0.71102,0.88776,0.59921,1.28945,0.000924352,0.000924352,0.000924352
47,737.023,0.81684,0.57507,1.20528,0.89995,0.84808,0.92307,0.67999,0.96322,0.70063,1.35378,0.000907848,0.000907848,0.000907848
48,752.94,0.8008,0.58052,1.19043,0.89376,0.89888,0.93953,0.70888,0.94496,0.61235,1.31429,0.000891345,0.000891345,0.000891345
49,768.609,0.78419,0.56174,1.17716,0.84731,0.72621,0.83391,0.62737,0.93867,1.33236,1.32738,0.000874842,0.000874842,0.000874842
50,784.111,0.79348,0.57897,1.18505,0.87923,0.81432,0.90064,0.67794,0.94147,0.78418,1.35327,0.000858338,0.000858338,0.000858338
51,799.265,0.78265,0.56158,1.17796,0.86311,0.84975,0.91706,0.68397,0.9363,0.67153,1.33608,0.000841835,0.000841835,0.000841835
52,814.645,0.78116,0.55794,1.18735,0.86895,0.64107,0.81155,0.61424,0.9525,1.74084,1.41809,0.000825332,0.000825332,0.000825332
53,830.186,0.7777,0.55992,1.1812,0.85642,0.86477,0.92136,0.69712,0.92851,0.8182,1.3396,0.000808828,0.000808828,0.000808828
54,845.541,0.75415,0.52783,1.16566,0.88462,0.81636,0.92073,0.69382,0.93553,0.8233,1.33638,0.000792325,0.000792325,0.000792325
55,860.954,0.76986,0.54744,1.16894,0.87084,0.75413,0.90335,0.68823,0.91308,1.20897,1.35292,0.000775822,0.000775822,0.000775822
56,876.163,0.75039,0.53095,1.16268,0.87004,0.77119,0.90484,0.68795,0.8958,1.09001,1.33955,0.000759318,0.000759318,0.000759318
57,891.384,0.74715,0.53093,1.15984,0.78972,0.74611,0.82474,0.61361,0.97464,1.31043,1.36249,0.000742815,0.000742815,0.000742815
58,906.942,0.75599,0.60057,1.16059,0.90984,0.90978,0.94014,0.72483,0.88957,0.53046,1.30811,0.000726312,0.000726312,0.000726312
59,922.649,0.75009,0.528,1.16658,0.82967,0.82638,0.89505,0.68721,0.88351,0.9048,1.31987,0.000709809,0.000709809,0.000709809
60,937.861,0.74042,0.53815,1.15694,0.88676,0.77135,0.88789,0.684,0.90013,0.9649,1.3421,0.000693305,0.000693305,0.000693305
61,953.389,0.73834,0.51619,1.15723,0.8835,0.7723,0.90062,0.68714,0.93218,0.97502,1.34643,0.000676802,0.000676802,0.000676802
62,968.53,0.73936,0.51984,1.15388,0.8895,0.81636,0.90694,0.70582,0.87449,0.88415,1.32078,0.000660299,0.000660299,0.000660299
63,983.919,0.72598,0.50587,1.15061,0.88809,0.8798,0.93498,0.71813,0.91278,0.63926,1.3257,0.000643795,0.000643795,0.000643795
64,999.604,0.71945,0.51025,1.14325,0.86639,0.85309,0.91645,0.6985,0.91076,0.74622,1.31542,0.000627292,0.000627292,0.000627292
